stock_area_code,stock_area_description,geo_type,geo_code,jurisdiction,constraint,confidence
*F483C,FAO 48.3 Antarctic - Management Area C: 40° W to 33° 30' W – 52° 30' S to 56° S,FAO,48.3,,,ok
GF8-11,GSA 8-9-10-11,GSA,GSA8,,,ok
GF8-11,GSA 8-9-10-11,GSA,GSA9,,,ok
GF8-11,GSA 8-9-10-11,GSA,GSA10,,,ok
GF8-11,GSA 8-9-10-11,GSA,GSA11,,,ok
*8ABDE,"8a, 8b, 8d and 8e",FAO,27.8.a,,,ok
*8ABDE,"8a, 8b, 8d and 8e",FAO,27.8.b,,,ok
*8ABDE,"8a, 8b, 8d and 8e",FAO,27.8.d,,,ok
*8ABDE,"8a, 8b, 8d and 8e",FAO,27.8.e,,,ok
2A4AB-,"IIa) (1), IVa) (1), IVb) (1)",FAO,27.2.a,,,ok
2A4AB-,"IIa) (1), IVa) (1), IVb) (1)",FAO,27.4.a,,,ok
2A4AB-,"IIa) (1), IVa) (1), IVb) (1)",FAO,27.4.b,,,ok
2A4AB-,"IIa) (1), IVa) (1), IVb) (1)",FAO,27.1,,,ok
KIR_2012,Kiribati,EEZ,KIR,KIR,,ok
24_AMS,United Kingdom and international waters of  2; United Kingdom and Union waters of 4 (shared quota),FAO,27.2,GBR+INT,,ok
24_AMS,United Kingdom and international waters of  2; United Kingdom and Union waters of 4 (shared quota),FAO,27.4,GBR+EU,,ok
02B.,2b,FAO,27.2.b,,,ok
3A/4BC,"IIIa), IVb),c)",FAO,27.4.b,,,ok
3A/4BC,"IIIa), IVb),c)",FAO,27.4.c,,,ok
3A/4BC,"IIIa), IVb),c)",FAO,27.3.a,,,ok
*4A-UK,United Kingdom waters of 4a,FAO,27.4.a,GBR,,ok
1234-,"Union and international waters of I, II, III and IV",FAO,27.1,EU+INT,,ok
1234-,"Union and international waters of I, II, III and IV",FAO,27.2,EU+INT,,ok
1234-,"Union and international waters of I, II, III and IV",FAO,27.3,EU+INT,,ok
1234-,"Union and international waters of I, II, III and IV",FAO,27.4,EU+INT,,ok
*5-14X,special condition under 514GRN concerning RED fished in association with demersal components outside the NEAFC box defined in footnote 2,RFMO,NEAFC,,,ok
*5-14X,special condition under 514GRN concerning RED fished in association with demersal components outside the NEAFC box defined in footnote 2,FAO,27.2,,,ok
5B6ANB,"United Kingdom and international waters of 5b; 6b and 6aN (Reference is to the herring stock in the part of ICES zone 6a east of 7°W and north of 55°N, or west of 7°W and north of 56°N, excluding the Clyde)",FAO,27.5.b,GBR+INT,,ok
5B6ANB,"United Kingdom and international waters of 5b; 6b and 6aN (Reference is to the herring stock in the part of ICES zone 6a east of 7°W and north of 55°N, or west of 7°W and north of 56°N, excluding the Clyde)",FAO,27.6.b,,east of 7°W | north of 55°N | west of 7°W | north of 56°N,ok
5B6ANB,"United Kingdom and international waters of 5b; 6b and 6aN (Reference is to the herring stock in the part of ICES zone 6a east of 7°W and north of 55°N, or west of 7°W and north of 56°N, excluding the Clyde)",FAO,27.6.a,,east of 7°W | north of 55°N | west of 7°W | north of 56°N,ok
2A34-N,"3a; United Kingdom, Union waters of 2a, 3b, 
3c, 3d and 4; Norwegian waters 2a and 4a",FAO,27.3.a,,,ok
2A34-N,"3a; United Kingdom, Union waters of 2a, 3b, 
3c, 3d and 4; Norwegian waters 2a and 4a",FAO,27.2.a,GBR+EU,,ok
2A34-N,"3a; United Kingdom, Union waters of 2a, 3b, 
3c, 3d and 4; Norwegian waters 2a and 4a",FAO,27.3.b,GBR+EU,,ok
2A34-N,"3a; United Kingdom, Union waters of 2a, 3b, 
3c, 3d and 4; Norwegian waters 2a and 4a",FAO,27.3.c,GBR+EU,,ok
2A34-N,"3a; United Kingdom, Union waters of 2a, 3b, 
3c, 3d and 4; Norwegian waters 2a and 4a",FAO,27.3.d,GBR+EU,,ok
2A34-N,"3a; United Kingdom, Union waters of 2a, 3b, 
3c, 3d and 4; Norwegian waters 2a and 4a",FAO,27.4,GBR+EU,,ok
2A34-N,"3a; United Kingdom, Union waters of 2a, 3b, 
3c, 3d and 4; Norwegian waters 2a and 4a",FAO,27.2.a,NOR,,ok
2A34-N,"3a; United Kingdom, Union waters of 2a, 3b, 
3c, 3d and 4; Norwegian waters 2a and 4a",FAO,27.4.a,NOR,,ok
*2A14,"United Kingdom and Union waters of 6, 7, 8d; Union waters of 8a, 8b and 8e; international waters of 12 and 14; and United Kingdom and international waters of 2a and 5b",FAO,27.8.d,GBR+EU,,ok
*2A14,"United Kingdom and Union waters of 6, 7, 8d; Union waters of 8a, 8b and 8e; international waters of 12 and 14; and United Kingdom and international waters of 2a and 5b",FAO,27.6,GBR+EU,,ok
*2A14,"United Kingdom and Union waters of 6, 7, 8d; Union waters of 8a, 8b and 8e; international waters of 12 and 14; and United Kingdom and international waters of 2a and 5b",FAO,27.7,GBR+EU,,ok
*2A14,"United Kingdom and Union waters of 6, 7, 8d; Union waters of 8a, 8b and 8e; international waters of 12 and 14; and United Kingdom and international waters of 2a and 5b",FAO,27.8.a,EU,,ok
*2A14,"United Kingdom and Union waters of 6, 7, 8d; Union waters of 8a, 8b and 8e; international waters of 12 and 14; and United Kingdom and international waters of 2a and 5b",FAO,27.8.b,EU,,ok
*2A14,"United Kingdom and Union waters of 6, 7, 8d; Union waters of 8a, 8b and 8e; international waters of 12 and 14; and United Kingdom and international waters of 2a and 5b",FAO,27.8.e,EU,,ok
*2A14,"United Kingdom and Union waters of 6, 7, 8d; Union waters of 8a, 8b and 8e; international waters of 12 and 14; and United Kingdom and international waters of 2a and 5b",FAO,27.12,INT,,ok
*2A14,"United Kingdom and Union waters of 6, 7, 8d; Union waters of 8a, 8b and 8e; international waters of 12 and 14; and United Kingdom and international waters of 2a and 5b",FAO,27.14,INT,,ok
*2A14,"United Kingdom and Union waters of 6, 7, 8d; Union waters of 8a, 8b and 8e; international waters of 12 and 14; and United Kingdom and international waters of 2a and 5b",FAO,27.2.a,GBR+INT,,ok
*2A14,"United Kingdom and Union waters of 6, 7, 8d; Union waters of 8a, 8b and 8e; international waters of 12 and 14; and United Kingdom and international waters of 2a and 5b",FAO,27.5.b,GBR+INT,,ok
*4AN.,Norwegian waters of 4a,FAO,27.4.a,NOR,,ok
MED1_TR4,(no description - inferred from code),NONE,,,MED1_TR4,Mediterranean effort regime code - not an area
MED,Mediterranean Sea,FAO,37,,,ok
N3LN.,NAFO 3LN,FAO,21.3.L,NAFO,,ok
